Отдел,Роль
1. Сантехника,Стратегический
1А. Сантехника инженерная,Сопутствующий
"2А. Крепеж, метизы, такелаж",Сопутствующий
3. Плитка керамическая,Стратегический
"4. Обои, плитка потолочная",Стратегический
"4А. Декор окна, текстиль, ковры",Сопутствующий
5. Покрытия напольные,Стратегический
"6. Электрика, вентиляция, климат",Сопутствующий
6А. Светотехника,Сопутствующий
7. Инструменты,Сопутствующий
8. Краски,Сопутствующий
"9. Двери, фурнитура дверная",Стратегический
9А. Материалы отделочные,Сопутствующий
10. Товары для дома,Сопутствующий
10А. Сезонные товары,Сопутствующий
Бытовая техника,Сопутствующий
Мебель для дома и офиса,Стратегический
Мебель для кухни,Стратегический
2. Стройматериалы,Сопутствующий
2Б. Лесопиломатериалы,Сопутствующий
2В. Металлопрокат,Сопутствующий
